price,year,home_size,parcel_size,beds,age,pool,cbd_dist,x_coord,y_coord
65.702,2005,1172,6747,3,35,0,17697.55,491555,1569831
199.964,2003,3069,9536,4,0,0,21123.63,544537.8,1462453
343.691,2001,3866,11561,6,0,1,20972.43,511038.8,1466512
314.191,2004,3501,11647,5,5,1,20343.17,601385.8,1525732
136.108,2000,891,9965,2,20,1,3374.19,543718.5,1537711
217.261,2005,1782,13916,4,24,1,16971.98,491913.9,1495597
105.556,2004,1356,5475,3,12,0,21542.71,490668.1,1586306
93.504,2001,1323,6027,3,10,0,9249.69,504662.8,1527765
109.087,2000,1372,11165,3,31,0,4005.48,537368.6,1543997
204.245,2004,1701,5658,4,0,0,23239.38,610573.3,1522090
105.293,2001,1543,4499,3,14,0,12014.65,573818.3,1537035
85.561,2001,1279,15179,3,48,0,16749.73,501294.3,1574629
168.336,2003,1850,10020,3,4,1,18209.28,593856,1521707
77.229,2002,1319,16026,3,40,0,7166.4,557245.7,1538239
333.139,2002,3585,15741,5,0,1,14821.24,486523.7,1525442
226.548,2004,2835,9013,4,0,0,14745.48,492619,1554755
78.877,2001,888,8010,3,39,0,16480.8,500204.1,1572646
156.274,2003,1507,4261,3,0,0,22591.94,608508.9,1522735
273.777,2002,2821,10309,4,0,0,20897.89,512148.7,1466373
128.053,2004,1490,12820,3,14,0,24478.92,454619.6,1535521
131.775,2003,1776,26535,4,33,0,13413.26,577679.8,1541170
113.026,2001,1685,6870,3,22,0,16400.78,522186.8,1478778
146.326,2001,1682,8268,4,7,0,17395.33,527848.4,1474436
1006.128,2004,4729,17025,4,4,1,17138.11,496860.7,1489606
89.694,2001,1164,5748,3,11,1,16870.85,527289.6,1476243
129.4,2000,1729,7155,3,8,0,15887.65,505258,1574039
213.893,2004,2947,5047,4,6,0,14509.62,580233,1516717
105.028,2003,1626,8843,4,32,0,9343.09,516991,1506162
114.271,2004,1432,8257,3,28,0,8462.86,513476,1548851
197.601,2004,2400,8790,3,0,0,22569.56,461856.6,1518464
73.309,2003,1008,6863,3,18,0,18229.72,482365.6,1559844
232.456,2004,2376,10492,4,14,0,20842.13,599025.3,1554735
142.107,2005,1672,10498,3,20,0,20908.47,466740.7,1539569
